Designator,Mid X,Mid Y,Rotation,Layer
C1,196.31,-83.761,90.0,bottom
C10,180.562,-103.7,270.0,bottom
C2,198.85,-83.761,90.0,bottom
C3,178.149,-93.667,90.0,bottom
C4,202.66,-125.036,90.0,bottom
C5,194.532,-125.036,270.0,bottom
C6,203.676,-109.288,270.0,bottom
C7,182.848,-103.7,90.0,bottom
C8,201.136,-109.288,270.0,bottom
C9,178.149,-97.858,90.0,bottom
D1,203.4032,-80.8228,0.0,top
F1,196.31,-88.206,90.0,bottom
J1,184.753,-80.586,180.0,top
J2,167.608,-111.631,270.0,top
R1,198.596,-109.288,90.0,bottom
R2,193.77,-88.206,270.0,bottom
R3,191.23,-88.206,270.0,bottom
R4,196.056,-104.716,90.0,bottom
R5,196.056,-109.288,270.0,bottom
R6,206.629,-118.559,90.0,bottom
R7,198.596,-104.716,270.0,bottom
R8,198.85,-88.206,270.0,bottom
R9,178.1556,-88.1888,270.0,bottom
SW1,169.6212,-80.772,0.0,top
U1,178.403,-116.136,180.0,top
U2,167.618,-95.054,180.0,top
U3,189.198,-121.48,90.0,bottom
U4,189.198,-108.018,90.0,bottom
U5,196.056,-96.207,90.0,bottom
U6,199.866,-117.162,0.0,bottom
U7,184.789,-95.763,270.0,bottom
U8,197.58,-79.062,90.0,bottom
Y1,176.879,-102.811,270.0,bottom
Y2,198.596,-125.29,0.0,bottom
